410001;Szókincs-tár ;Vocabulary Bank;[sound:NewEnglishFileIntHU410001A.mp3];x;1A
410002;Ételek és éttermek ;Food and restaurants;[sound:NewEnglishFileIntHU410002A.mp3];x;1A
410003;sült  (adj);baked;[sound:NewEnglishFileIntHU410003A.mp3];x;1A
410004;bab ;beans;[sound:NewEnglishFileIntHU410004A.mp3];x;1A
410005;főtt  (adj);boiled;[sound:NewEnglishFileIntHU410005A.mp3];x;1A
410006;desszert ;dessert;[sound:NewEnglishFileIntHU410006A.mp3];x;1A
410007;kacsa ;duck;[sound:NewEnglishFileIntHU410007A.mp3];x;1A
410008;hal ;fish;[sound:NewEnglishFileIntHU410008A.mp3];x;1A
410009;villa ;fork;[sound:NewEnglishFileIntHU410009A.mp3];x;1A
410010;friss ;fresh;[sound:NewEnglishFileIntHU410010A.mp3];x;1A
410011;sült (olajban, serpenyőben)  (adj);fried;[sound:NewEnglishFileIntHU410011A.mp3];x;1A
410012;mélyhűtött, fagyasztott ;frozen;[sound:NewEnglishFileIntHU410012A.mp3];x;1A
410013;gyümölcs ;fruit;[sound:NewEnglishFileIntHU410013A.mp3];x;1A
410014;pohár ;glass;[sound:NewEnglishFileIntHU410014A.mp3];x;1A
410015;grill, grillezett  (adj);grilled;[sound:NewEnglishFileIntHU410015A.mp3];x;1A
410016;házi (készítésű) ;home-made;[sound:NewEnglishFileIntHU410016A.mp3];x;1A
410017;kés ;knife;[sound:NewEnglishFileIntHU410017A.mp3];x;1A
410018;fejes saláta ;lettuce;[sound:NewEnglishFileIntHU410018A.mp3];x;1A
410019;sovány, alacsony zsírtartalmú ;low-fat;[sound:NewEnglishFileIntHU410019A.mp3];x;1A
410020;főétel ;main course;[sound:NewEnglishFileIntHU410020A.mp3];x;1A
410021;hús ;meat;[sound:NewEnglishFileIntHU410021A.mp3];x;1A
410022;szalvéta ;napkin;[sound:NewEnglishFileIntHU410022A.mp3];x;1A
410023;őszibarack ;peach;[sound:NewEnglishFileIntHU410023A.mp3];x;1A
410024;bors ;pepper;[sound:NewEnglishFileIntHU410024A.mp3];x;1A
410025;tányér ;plate;[sound:NewEnglishFileIntHU410025A.mp3];x;1A
410026;garnélarák ;prawn;[sound:NewEnglishFileIntHU410026A.mp3];x;1A
410027;nyers ;raw;[sound:NewEnglishFileIntHU410027A.mp3];x;1A
410028;sült (sütőben vagy nyílt tűzön)  (adj);roast;[sound:NewEnglishFileIntHU410028A.mp3];x;1A
410029;lazac ;salmon;[sound:NewEnglishFileIntHU410029A.mp3];x;1A
410030;só ;salt;[sound:NewEnglishFileIntHU410030A.mp3];x;1A
410031;kolbász ;sausage;[sound:NewEnglishFileIntHU410031A.mp3];x;1A
410032;tenger gyümölcsei ;seafood;[sound:NewEnglishFileIntHU410032A.mp3];x;1A
410033;szalvéta ;serviette;[sound:NewEnglishFileIntHU410033A.mp3];x;1A
410034;fűszeres, erős ;spicy;[sound:NewEnglishFileIntHU410034A.mp3];x;1A
410035;kanál ;spoon;[sound:NewEnglishFileIntHU410035A.mp3];x;1A
410036;előétel ;starter;[sound:NewEnglishFileIntHU410036A.mp3];x;1A
410037;párolt, gőzben főtt  (adj);steamed;[sound:NewEnglishFileIntHU410037A.mp3];x;1A
410038;eper ;strawberry;[sound:NewEnglishFileIntHU410038A.mp3];x;1A
410039;édes ;sweet;[sound:NewEnglishFileIntHU410039A.mp3];x;1A
410040;elvitelre / elvihető étel / ill. ilyet árusító hely ;takeaway;[sound:NewEnglishFileIntHU410040A.mp3];x;1A
410041;zöldség ;vegetable;[sound:NewEnglishFileIntHU410041A.mp3];x;1A
410042;tál (mély) ;bowl;[sound:NewEnglishFileIntHU410042A.mp3];x;1A
410043;edény ;dish;[sound:NewEnglishFileIntHU410043A.mp3];x;1A
410044;étteremben étkezik ;eat out;[sound:NewEnglishFileIntHU410044A.mp3];x;1A
410045;zsír, zsíradék ;fat;[sound:NewEnglishFileIntHU410045A.mp3];x;1A
410046;felmelegít ;heat up;[sound:NewEnglishFileIntHU410046A.mp3];x;1A
410047;méz ;honey;[sound:NewEnglishFileIntHU410047A.mp3];x;1A
410048;adag ;portion;[sound:NewEnglishFileIntHU410048A.mp3];x;1A
410049;leves ;soup;[sound:NewEnglishFileIntHU410049A.mp3];x;1A
