400001;aktív, tevékeny (adj);active;[sound:NewHeadwayInt4HU400001A.mp3];He plays tennis a lot, so he’s very active.;[sound:NewHeadwayInt4HU400001B.mp3];;X;Unit1
400002;köz, sikátor (n);alleyway;[sound:NewHeadwayInt4HU400002A.mp3];The shop is in a tiny alleyway.;[sound:NewHeadwayInt4HU400002B.mp3];;X;Unit1
400003;elképesztően (adv);amazingly;[sound:NewHeadwayInt4HU400003A.mp3];This car is amazingly fast!;[sound:NewHeadwayInt4HU400003B.mp3];;X;Unit1
400004;régészet (n);archaeology;[sound:NewHeadwayInt4HU400004A.mp3];He’s interested in history and archaeology.;[sound:NewHeadwayInt4HU400004B.mp3];;X;Unit1
400005;negyed (n);area;[sound:NewHeadwayInt4HU400005A.mp3];She lives in a poor area of the city.;[sound:NewHeadwayInt4HU400005B.mp3];;X;Unit1
400006;háttér, származás (n);background;[sound:NewHeadwayInt4HU400006A.mp3];She comes from a rich background.;[sound:NewHeadwayInt4HU400006B.mp3];;X;Unit1
400007;hordó (n);barrel;[sound:NewHeadwayInt4HU400007A.mp3];The wine is kept in wooden barrels.;[sound:NewHeadwayInt4HU400007B.mp3];;X;Unit1
400008;baszk (adj);Basque;[sound:NewHeadwayInt4HU400008A.mp3];He comes from the Basque region of Spain.;[sound:NewHeadwayInt4HU400008B.mp3];;X;Unit1
400009;legyőz (v);beat;[sound:NewHeadwayInt4HU400009A.mp3];Arsenal beat Chelsea 3-0.;[sound:NewHeadwayInt4HU400009B.mp3];;X;Unit1
400010;kétnyelvű (adj);bilingual;[sound:NewHeadwayInt4HU400010A.mp3];He’s bilingual - he speaks English and German.;[sound:NewHeadwayInt4HU400010B.mp3];;X;Unit1
400011;háztömb (n);block;[sound:NewHeadwayInt4HU400011A.mp3];They live in a new block of flats.;[sound:NewHeadwayInt4HU400011B.mp3];;X;Unit1
400012;eligazítást ad (v);brief;[sound:NewHeadwayInt4HU400012A.mp3];Carla has briefed me about the meeting.;[sound:NewHeadwayInt4HU400012B.mp3];;X;Unit1
400013;okos, gyors felfogású (adj);bright;[sound:NewHeadwayInt4HU400013A.mp3];Bright children learn quickly.;[sound:NewHeadwayInt4HU400013B.mp3];;X;Unit1
400014;lemond, nem rendez meg (v);cancel;[sound:NewHeadwayInt4HU400014A.mp3];She cancelled her party because she was ill.;[sound:NewHeadwayInt4HU400014B.mp3];;X;Unit1
400015;lemondás (n);cancellation;[sound:NewHeadwayInt4HU400015A.mp3];The restaurant is fully booked, but they may get a cancellation.;[sound:NewHeadwayInt4HU400015B.mp3];;X;Unit1
400016;gondatlanul (adv);carelessly;[sound:NewHeadwayInt4HU400016A.mp3];I carelessly left my bag in the shop.;[sound:NewHeadwayInt4HU400016B.mp3];;X;Unit1
400017;becsben tart (v);cherish;[sound:NewHeadwayInt4HU400017A.mp3];Thank you for your present – I will cherish it.;[sound:NewHeadwayInt4HU400017B.mp3];;X;Unit1
400018;gyermekkor (n);childhood;[sound:NewHeadwayInt4HU400018A.mp3];He spent his childhood in Canada.;[sound:NewHeadwayInt4HU400018B.mp3];;X;Unit1
400019;ügyfél (n);client;[sound:NewHeadwayInt4HU400019A.mp3];Bank managers give advice to their clients.;[sound:NewHeadwayInt4HU400019B.mp3];;X;Unit1
400020;szoros kapcsolatban van, érzelmileg közel áll (adj);close;[sound:NewHeadwayInt4HU400020A.mp3];I’m very close to my brother.;[sound:NewHeadwayInt4HU400020B.mp3];;X;Unit1
400021;szorosan összetartó (adj);close-knit;[sound:NewHeadwayInt4HU400021A.mp3];This is a very close-knit community.;[sound:NewHeadwayInt4HU400021B.mp3];;X;Unit1
400022;közös (adj);communal;[sound:NewHeadwayInt4HU400022A.mp3];The students share a communal kitchen.;[sound:NewHeadwayInt4HU400022B.mp3];;X;Unit1
400023;közösség (n);community;[sound:NewHeadwayInt4HU400023A.mp3];The park is used by the whole community.;[sound:NewHeadwayInt4HU400023B.mp3];;X;Unit1
400024;kozmopolita (adj);cosmopolitan;[sound:NewHeadwayInt4HU400024A.mp3];New York is a cosmopolitan city, with people from all over the world.;[sound:NewHeadwayInt4HU400024B.mp3];;X;Unit1
400025;repedt (adj);cracked;[sound:NewHeadwayInt4HU400025A.mp3];The cups were all old and cracked.;[sound:NewHeadwayInt4HU400025B.mp3];;X;Unit1
400026;kultúra (n);culture;[sound:NewHeadwayInt4HU400026A.mp3];Chinese culture is very interesting. ;[sound:NewHeadwayInt4HU400026B.mp3];;X;Unit1
